01.Licence Number,02.Current Licence Status,03.Licensee Name,04.Orig BA Code,05.Surface Location,06.Detection Date,07.Report Date,08.Report Status,09.Failure Type,10.Failure Top Depth (mKB),11.Failure Depth Bottom (mKB),12.Reported Resolution,13.Reported Resolution Date,14.Steam Scheme Type,15.Connection Type,16.Final Drill Date
 0411419,Abandoned,Rife Resources Ltd. (0DZ7),0DZ7,15-26-040-01W4,"Sep 07, 2017","Nov 20, 2017",Closed,Hole,319,871,Cement Squeeze/Plug,"Sep 28, 2017",,8 Round,"Aug 03, 2009"
 0411424,Abandoned,Rife Resources Ltd. (0DZ7),0DZ7,15-26-040-01W4,"Sep 07, 2017","Nov 20, 2017",Closed,Hole,489,875,Cement Squeeze/Plug,"Sep 29, 2017",,8 Round,"Jul 28, 2009"
 0130347,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,08-10-066-05W4,"Sep 08, 1996","Jan 15, 2010",Closed,Hole,525,526,Cement Squeeze/Plug,"Sep 08, 1996",,8 Round,"Jan 19, 1988"
 0201202,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,03-29-007-14W4,"Sep 08, 2001","Jul 31, 2013",Closed,Parted,917,921,Cement Squeeze/Plug,"Sep 22, 2001",,8 Round,"Jul 27, 1997"
 0136052,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,08-09-066-05W4,"Sep 08, 2005","Mar 16, 2010",Closed,Hole,283,308,Cement Squeeze/Plug,"Oct 10, 2005",,8 Round,"Dec 12, 1988"
 0070266,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,16-02-016-11W4,"Sep 08, 2009","Sep 09, 2009",Closed,Hole,11,11,Other,"Sep 08, 2009",,8 Round,"Jul 19, 1978"
 0085089,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,16-28-015-11W4,"Sep 08, 2009","Sep 09, 2009",Closed,Hole,20,220,Cement Squeeze/Plug,"Sep 24, 2009",,8 Round,"Sep 05, 1980"
 0078339,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,06-08-018-10W4,"Sep 08, 2011","Sep 14, 2011",Closed,Hole,183,186,Cement Squeeze/Plug,"Sep 10, 2011",,8 Round,"Oct 09, 1979"
 0160104,Abandoned,Strategic Oil & Gas Ltd. (A524),A524,13-24-010-16W4,"Sep 08, 2021","Sep 09, 2021",Closed,Hole,7,7,Other,"Oct 25, 2021",,8 Round,"Aug 04, 1993"
 0130354,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,08-10-066-05W4,"Sep 09, 2001","Jan 19, 2010",Closed,Hole,530,531,Cement Squeeze/Plug,"Jan 13, 2010",,8 Round,"Jan 29, 1988"
 0094782,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,03-36-015-12W4,"Sep 09, 2009","Sep 10, 2009",Closed,Hole,130,138,Cement Squeeze/Plug,"Sep 18, 2009",,8 Round,"Feb 07, 1982"
 0043949,Abandoned,Canlin Energy Corporation (A7M1),0RC3,09-02-014-03W4,"Sep 09, 2010","Sep 10, 2010",Closed,Hole,46,47,Cement Squeeze/Plug,"Sep 28, 2010",,8 Round,"Nov 16, 1972"
 0090474,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,08-11-016-12W4,"Sep 09, 2011","Sep 16, 2011",Closed,Hole,170,285,Cement Squeeze/Plug,"Sep 15, 2011",,8 Round,"Jun 11, 1981"
 0376374,Abandoned,Rife Resources Ltd. (0DZ7),0DZ7,09-26-040-01W4,"Sep 09, 2017","Nov 20, 2017",Closed,Hole,377,840,Cement Squeeze/Plug,"Sep 28, 2017",,8 Round,"Jun 11, 2007"
 0399739,Abandoned,Forent Energy Ltd. (0YE6),0YE6,14-10-040-02W4,"Sep 09, 2019","Jan 21, 2020",Closed,Hole,589,857,Cement Squeeze/Plug,"Feb 26, 2020",,8 Round,"Sep 06, 2008"
 0129991,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,06-03-066-05W4,"Sep 10, 2001","Dec 17, 2009",Closed,Hole,486,487,Cement Squeeze/Plug,"Dec 04, 2009",,8 Round,"Dec 15, 1987"
 0130915,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,10-03-066-05W4,"Sep 10, 2001","Jan 08, 2010",Closed,Hole,488,489,Cement Squeeze/Plug,"Dec 08, 2009",,8 Round,"Mar 01, 1988"
 0040713,Abandoned,Cardinal Energy Ltd. (A6A7),A0X1,01-22-071-04W5,"Sep 10, 2004","Apr 14, 2005",Closed,Hole,940,1445,Cement Squeeze/Plug,"Oct 04, 2004",,8 Round,"Oct 13, 1971"
 0147250,Abandoned,TAQA North Ltd. (A2TG),A2TG,08-05-012-13W4,"Sep 10, 2015","Dec 22, 2015",Closed,Hole,5,5,Replaced Failed Casing,"Dec 22, 2015",,8 Round,"Jan 14, 1991"
 0396814,Abandoned,Rife Resources Ltd. (0DZ7),0DZ7,09-26-040-01W4,"Sep 10, 2017","Nov 20, 2017",Closed,Hole,350,880,Cement Squeeze/Plug,"Sep 28, 2017",,8 Round,"Jul 14, 2008"
 0130626,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,08-03-066-05W4,"Sep 11, 2001","Jan 19, 2010",Closed,Hole,525,525,Cement Squeeze/Plug,"Jan 11, 2010",,8 Round,"Jan 24, 1988"
 0112311,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,06-15-088-12W6,"Sep 11, 2011","Sep 14, 2011",Closed,Hole,258,260,Bridge Plug,"Sep 19, 2011",,8 Round,"Feb 05, 1985"
 0200316,Abandoned,Rife Resources Ltd. (0DZ7),0DZ7,11-26-040-01W4,"Sep 11, 2017","Nov 20, 2017",Closed,Hole,361,800,Cement Squeeze/Plug,"Sep 28, 2017",,8 Round,"Jun 10, 1997"
 0192708,Abandoned,Rife Resources Ltd. (0DZ7),0DZ7,07-26-040-01W4,"Sep 11, 2017","Nov 22, 2017",Closed,Hole,433,835,Cement Squeeze/Plug,"Sep 28, 2017",,8 Round,"Nov 11, 1996"
 0398354,Abandoned,Rife Resources Ltd. (0DZ7),0DZ7,14-26-040-01W4,"Sep 11, 2017","Nov 20, 2017",Closed,Hole,317,868,Cement Squeeze/Plug,"Sep 28, 2017",,8 Round,"Jul 19, 2008"
 0340554,Abandoned,Hemisphere Energy Corporation (A5E4),A5E4,14-15-022-09W4,"Sep 11, 2022","Sep 12, 2022",Closed,Hole,46,46,Other,"Sep 12, 2022",,8 Round,"Jul 27, 2006"
 0135777,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,15-10-066-05W4,"Sep 12, 1994","Feb 24, 2010",Closed,Hole,525,526,Cement Squeeze/Plug,"Feb 19, 2010",,8 Round,"Oct 19, 1988"
 0129990,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,06-03-066-05W4,"Sep 12, 2001","Dec 17, 2009",Closed,Hole,456,457,Cement Squeeze/Plug,"Dec 04, 2009",,8 Round,"Dec 13, 1987"
 0130625,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,08-03-066-05W4,"Sep 12, 2001","Dec 17, 2009",Closed,Hole,475,475,Cement Squeeze/Plug,"Dec 04, 2009",,8 Round,"Jan 23, 1988"
 0366916,Abandoned,Torxen Energy Ltd. (A7NW),0026,04-05-022-14W4,"Sep 12, 2007","Sep 12, 2007",Closed,Parted,28,28,Cement Squeeze/Plug,"Feb 27, 2008",,8 Round,"Feb 26, 2007"
 0379536,Abandoned,Torxen Energy Ltd. (A7NW),0026,03-10-022-18W4,"Sep 12, 2007","Sep 12, 2007",Closed,Hole,77,77,Bridge Plug,"Sep 02, 2008",,8 Round,"Aug 11, 2007"
 0082850,Abandoned,City Of Medicine Hat (0150),0150,06-27-013-06W4,"Sep 12, 2007","Oct 28, 2013",Closed,Collapse,302,303,Cement Squeeze/Plug,"May 14, 2014",,8 Round,"May 28, 1980"
 0420603,Abandoned,Rife Resources Ltd. (0DZ7),0DZ7,01-26-040-01W4,"Sep 12, 2017","Nov 22, 2017",Closed,Hole,362,869,Cement Squeeze/Plug,"Sep 26, 2017",,8 Round,"Jun 17, 2010"
 0290813,Abandoned,Ipc Canada Ltd. (A868),A5D4,08-26-018-07W4,"Sep 12, 2017","Sep 12, 2017",Closed,Hole,952,1016,Cement Squeeze/Plug,"Oct 29, 2017",,8 Round,"Dec 11, 2003"
 0130355,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,08-10-066-05W4,"Sep 13, 1996","Jan 19, 2010",Closed,Hole,472,472,Cement Squeeze/Plug,"Sep 16, 1996",,8 Round,"Jan 31, 1988"
 0131048,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,06-10-066-05W4,"Sep 13, 2001","Feb 16, 2010",Closed,Hole,485,485,Cement Squeeze/Plug,"Jan 14, 2010",,8 Round,"May 01, 1988"
 0115162,Abandoned,Rife Resources Ltd. (0DZ7),0DZ7,07-26-040-01W4,"Sep 13, 2006","Sep 13, 2006",Closed,Hole,776,776,Cement Squeeze/Plug,"Nov 09, 2006",,8 Round,"Aug 21, 2004"
 0064802,Abandoned,City Of Medicine Hat (0150),0150,10-32-011-07W4,"Sep 13, 2014","Sep 15, 2014",Closed,Hole,3,5,Entry Error-Ignore,"Sep 15, 2014",,8 Round,"Sep 02, 1977"
 0059528,Abandoned,Ipc Canada Ltd. (A868),A5D4,06-27-019-08W4,"Sep 13, 2015","Oct 06, 2015",Closed,Hole,4,287,Cement Squeeze/Plug,"Nov 03, 2015",,8 Round,"Aug 19, 1976"
 0014007,Abandoned,Cenovus Energy Inc. (A5D4),A5D4,12-15-045-06W4,"Sep 13, 2023","Oct 05, 2023",Closed,Hole,22,59,Cement Squeeze/Plug,"Oct 03, 2023",,8 Round,"Oct 01, 1957"
 0130624,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,08-03-066-05W4,"Sep 14, 2001","Dec 18, 2009",Closed,Parted,7,18,Cement Squeeze/Plug,"Dec 07, 2009",,8 Round,"Jan 22, 1988"
 0132778,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,14-03-066-05W4,"Sep 14, 2001","Jan 07, 2010",Closed,Hole,484,486,Cement Squeeze/Plug,"Oct 31, 2001",,8 Round,"Mar 22, 1988"
 0132794,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,14-03-066-05W4,"Sep 14, 2001","Dec 27, 2009",Closed,Hole,515,515,Cement Squeeze/Plug,"Dec 14, 2009",,8 Round,"Apr 09, 1988"
 0234520,Abandoned,Torxen Energy Ltd. (A7NW),0026,06-07-019-15W4,"Sep 14, 2002","Oct 01, 2008",Closed,Hole,14,19,Cement Squeeze/Plug,"Sep 16, 2002",,8 Round,"May 20, 2000"
 0039306,Abandoned,Legacy Petroleum Ltd. (0FJ5),0FJ5,06-09-012-02W4,"Sep 14, 2004","Sep 28, 2004",Closed,Hole,173,173,Cement Squeeze/Plug,"Sep 17, 2004",,8 Round,"Dec 15, 1970"
 0011592,Abandoned,I3 Energy Canada Ltd. (A8HW),A5G3,08-09-044-01W5,"Sep 14, 2014","Sep 25, 2014",Closed,Hole,65,65,Bridge Plug,"Feb 25, 2015",,8 Round,"Sep 08, 1956"
 0060141,Abandoned,Torxen Energy Ltd. (A7NW),A7NW,16-25-021-15W4,"Sep 14, 2023","Sep 20, 2023",Closed,Hole,0,250,Cement Squeeze/Plug,"Nov 14, 2023",,8 Round,"Sep 26, 1976"
 0023206,Abandoned,Cenovus Energy Inc. (A5D4),0TT1,10-14-044-01W4,"Sep 15, 2003","Sep 19, 2003",Closed,Hole,7,7,Replaced Failed Casing,"Sep 16, 2003",,8 Round,"Oct 26, 1962"
 0083835,Abandoned,I3 Energy Canada Ltd. (A8HW),0FW6,10-28-043-02W5,"Sep 15, 2003","Nov 07, 2003",Closed,Parted,899,899,Cement Squeeze/Plug,"Jan 30, 2004",,8 Round,"Aug 01, 1980"
 0154320,Abandoned,Prairie Provident Resources Canada Ltd. (0T82),0WH3,07-30-037-04W4,"Sep 15, 2006","Sep 22, 2006",Closed,Hole,523,884,Cement Squeeze/Plug,"Sep 16, 2006",,8 Round,"Nov 10, 1992"
 0109087,Abandoned,Journey Energy Inc. (A2PH),0BP8,04-29-056-04W5,"Sep 15, 2008","Sep 23, 2008",Closed,Hole,529,529,Cement Squeeze/Plug,"Sep 17, 2008",,8 Round,"Oct 11, 1984"
 0175908,Abandoned,Torxen Energy Ltd. (A7NW),A5D4,08-12-021-15W4,"Sep 15, 2016","Dec 15, 2017",Closed,Hole,645,1125,Cement Squeeze/Plug,"Nov 23, 2018",,8 Round,"Feb 20, 1995"
 0026107,Abandoned,Hammer Resources Ltd. (0FM8),0FM8,16-16-052-26W4,"Sep 15, 2021","Oct 12, 2021",Closed,Hole,1160,1320,Cement Squeeze/Plug,"Sep 19, 2021",,8 Round,"Jun 19, 1964"
 0352115,Abandoned,Blue Sky Resources Ltd. (A7XK),A2TG,16-13-085-07W5,"Sep 16, 2008","Dec 15, 2008",Closed,Thread Leak,100,110,Entry Error-Ignore,"Feb 07, 2009",,8 Round,"Mar 02, 2006"
 0050209,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,06-34-018-10W4,"Sep 16, 2011","Sep 19, 2011",Closed,Hole,53,86,Bridge Plug,"Sep 16, 2011",,8 Round,"Jul 16, 1974"
 0074543,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,08-18-014-09W4,"Sep 16, 2011","Sep 28, 2011",Closed,Hole,243,244,Cement Squeeze/Plug,"Sep 16, 2011",,8 Round,"Aug 26, 1979"
 0449536,Abandoned,Cenovus Energy Inc. (A5D4),A5D4,09-03-056-07W4,"Sep 16, 2013","Sep 27, 2013",Closed,Hole,210,212,Cement Squeeze/Plug,"Oct 04, 2013",,8 Round,"Nov 19, 2012"
 0202683,Abandoned,Surge Energy Inc. (0YK4),0R46,06-19-039-02W4,"Sep 16, 2015","Sep 23, 2015",Closed,Hole,3,4,Replaced Failed Casing,"Nov 03, 2015",,8 Round,"Jun 29, 1997"
 0069416,Abandoned,Ipc Canada Ltd. (A868),A5D4,06-21-016-05W4,"Sep 16, 2016","Sep 20, 2016",Closed,Hole,133,133,Cement Squeeze/Plug,"Sep 20, 2016",,8 Round,"Aug 13, 1978"
 0135992,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,12-10-066-05W4,"Sep 17, 1997","Feb 23, 2010",Closed,Hole,254,255,Cement Squeeze/Plug,"Feb 18, 2010",,8 Round,"Jan 01, 1989"
 0130623,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,08-03-066-05W4,"Sep 17, 2001","Jan 19, 2010",Closed,Hole,19,20,Cement Squeeze/Plug,"Jan 11, 2010",,8 Round,"Jan 20, 1988"
 0129989,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,06-03-066-05W4,"Sep 17, 2001","Dec 17, 2009",Closed,Hole,495,508,Cement Squeeze/Plug,"Dec 05, 2009",,8 Round,"Dec 11, 1987"
 0058330,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,06-13-016-11W4,"Sep 17, 2009","Nov 09, 2009",Closed,Hole,63,65,Cement Squeeze/Plug,"Sep 17, 2009",,8 Round,"Jun 06, 1976"
 0260651,Abandoned,City Of Medicine Hat (0150),0150,16-34-022-05W4,"Sep 17, 2013","Sep 18, 2013",Closed,Hole,175,200,Cement Squeeze/Plug,"Oct 10, 2013",,8 Round,"Nov 12, 2001"
 0035145,Abandoned,TAQA North Ltd. (A2TG),A2TG,10-34-060-11W5,"Sep 17, 2015","Sep 22, 2015",Closed,Hole,727,729,Cement Squeeze/Plug,"Sep 20, 2015",,8 Round,"Nov 23, 1968"
 0332420,Abandoned,Cleo Energy Corp. (A7BY),0DZ7,01-27-040-01W4,"Sep 17, 2017","Nov 21, 2017",Closed,Hole,362,886,Cement Squeeze/Plug,"Sep 26, 2017",,8 Round,"Jul 29, 2005"
 0130352,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,08-10-066-05W4,"Sep 18, 1996","Jan 19, 2010",Closed,Hole,452,453,Cement Squeeze/Plug,"Sep 18, 1996",,8 Round,"Jan 26, 1988"
 0130032,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,10-10-066-05W4,"Sep 18, 1996","Jan 06, 2010",Closed,Hole,523,524,Cement Squeeze/Plug,"Sep 18, 1996",,8 Round,"Dec 12, 1987"
 0129802,Abandoned,Tidewater Midstream and Infrastructure Ltd. (A74Y),A74Y,14-19-075-08W6,"Sep 18, 2018","Sep 19, 2018",Closed,Hole,1,20,Other,"Sep 19, 2018",,8 Round,"Nov 11, 1987"
 0130622,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,08-03-066-05W4,"Sep 19, 2001","Dec 16, 2009",Closed,Hole,468,468,Cement Squeeze/Plug,"Oct 31, 2001",,8 Round,"Jan 19, 1988"
 0132785,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,14-03-066-05W4,"Sep 19, 2001","Jan 11, 2010",Closed,Hole,530,531,Cement Squeeze/Plug,"Dec 15, 2009",,8 Round,"Mar 30, 1988"
 0335677,Abandoned,City Of Medicine Hat (0150),0150,09-11-022-05W4,"Sep 19, 2014","Oct 14, 2014",Closed,Hole,4,11,Entry Error-Ignore,"Oct 15, 2014",,8 Round,"Oct 14, 2005"
 0288513,Abandoned,Rife Resources Ltd. (0DZ7),0DZ7,01-26-040-01W4,"Sep 19, 2017","Nov 22, 2017",Closed,Hole,400,862,Cement Squeeze/Plug,"Sep 28, 2017",,8 Round,"Jul 26, 2003"
 0297777,Abandoned,Ipc Canada Ltd. (A868),A5D4,08-05-018-06W4,"Sep 19, 2017","Sep 22, 2017",Closed,Hole,746,1004,Cement Squeeze/Plug,"Oct 28, 2017",,8 Round,"Jan 31, 2004"
 0192710,Abandoned,Rife Resources Ltd. (0DZ7),0DZ7,08-26-040-01W4,"Sep 20, 2017","Nov 22, 2017",Closed,Hole,384,795,Cement Squeeze/Plug,"Sep 27, 2017",,8 Round,"Nov 16, 1996"
 0357736,Abandoned,Rife Resources Ltd. (0DZ7),0DZ7,02-26-040-01W4,"Sep 20, 2017","Nov 22, 2017",Closed,Hole,523,862,Cement Squeeze/Plug,"Sep 26, 2017",,8 Round,"Aug 12, 2006"
 0132784,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,14-03-066-05W4,"Sep 21, 2001","Jan 11, 2010",Closed,Hole,502,502,Cement Squeeze/Plug,"Dec 15, 2009",,8 Round,"Mar 28, 1988"
 0130614,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,08-03-066-05W4,"Sep 21, 2001","Jan 26, 2010",Closed,Hole,512,514,Cement Squeeze/Plug,"Oct 29, 2001",,8 Round,"Jan 04, 1988"
 0027795,Abandoned,Cardinal Energy Ltd. (A6A7),0JL8,12-11-069-11W5,"Sep 21, 2005","Dec 08, 2005",Closed,Hole,990,1470,Cement Squeeze/Plug,"Jan 15, 2006",,8 Round,"Mar 19, 1965"
 0207602,Abandoned,Cleo Energy Corp. (A7BY),0DZ7,04-25-040-01W4,"Sep 21, 2017","Nov 20, 2017",Closed,Hole,370,849,Cement Squeeze/Plug,"Sep 27, 2017",,8 Round,"Nov 23, 1997"
 0288574,Abandoned,Rife Resources Ltd. (0DZ7),0DZ7,16-26-040-01W4,"Sep 21, 2017","Nov 20, 2017",Closed,Hole,353,853,Cement Squeeze/Plug,"Sep 28, 2017",,8 Round,"Jun 30, 2003"
 0277919,Abandoned,Wolf Coulee Resources Inc. (A16L),A16L,02-29-014-20W4,"Sep 21, 2021","Oct 07, 2021",Closed,Thread Leak,12,12,Other,"Nov 19, 2021",,8 Round,"Dec 17, 2002"
 0278157,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,03-36-089-09W5,"Sep 21, 2023","Oct 12, 2023",Closed,Hole,5,1217,Entry Error-Ignore,"Feb 12, 2024",,8 Round,"Jan 07, 2003"
 0396280,Abandoned,Long Run Exploration Ltd. (A517),A1L8,10-24-055-11W5,"Sep 22, 2008","Oct 07, 2008",Closed,Hole,719,738,Cement Squeeze/Plug,"Feb 18, 2013",,8 Round,"Oct 19, 2008"
 0275137,Abandoned,City Of Medicine Hat (0150),0150,16-35-022-05W4,"Sep 22, 2013","Sep 24, 2013",Closed,Hole,210,230,Cement Squeeze/Plug,"Oct 11, 2013",,8 Round,"Nov 13, 2002"
 0289562,Abandoned,Rife Resources Ltd. (0DZ7),0DZ7,05-26-040-01W4,"Sep 22, 2017","Nov 21, 2017",Closed,Hole,375,835,Cement Squeeze/Plug,"Sep 26, 2017",,8 Round,"Jul 22, 2003"
 0101858,Abandoned,Aspenleaf Energy Limited (A74X),A637,02-14-050-26W4,"Sep 22, 2019","Sep 24, 2019",Closed,Hole,128,137,Bridge Plug,"Sep 23, 2019",,8 Round,"Jul 25, 1983"
 0130616,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,08-03-066-05W4,"Sep 23, 1998","Dec 23, 2009",Closed,Hole,15,16,Cement Squeeze/Plug,"Dec 11, 2009",,8 Round,"Jan 08, 1988"
 0130341,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,08-10-066-05W4,"Sep 23, 2001","Jan 19, 2010",Closed,Hole,495,497,Cement Squeeze/Plug,"Nov 06, 2001",,8 Round,"Jan 05, 1988"
 0005437,Abandoned,Enerplus Corporation (A5RD),A5RD,07-31-049-21W4,"Sep 23, 2011","Nov 09, 2011",Closed,Hole,891,983,Cement Squeeze/Plug,"Apr 11, 2012",,8 Round,"Nov 17, 1952"
 0131040,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,06-10-066-05W4,"Sep 24, 1996","Feb 16, 2010",Closed,Hole,465,466,Cement Squeeze/Plug,"Sep 27, 1996",,8 Round,"Apr 24, 1988"
 0130619,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,08-03-066-05W4,"Sep 24, 2001","Dec 17, 2009",Closed,Hole,474,475,Cement Squeeze/Plug,"Dec 04, 2009",,8 Round,"Jan 14, 1988"
 0130900,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,10-03-066-05W4,"Sep 24, 2001","Jan 14, 2010",Closed,Hole,526,529,Cement Squeeze/Plug,"Dec 08, 2009",,8 Round,"Feb 26, 1988"
 0076620,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,16-07-025-14W4,"Sep 24, 2009","Sep 28, 2009",Closed,Hole,50,290,Cement Squeeze/Plug,"Sep 25, 2009",,8 Round,"Jul 10, 1979"
 0172802,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,07-34-090-12W6,"Sep 24, 2011","Sep 26, 2011",Closed,Hole,1084,1113,Cement Squeeze/Plug,"Sep 27, 2011",,8 Round,"Feb 11, 1995"
 0197703,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,02-34-057-05W4,"Sep 24, 2013","Sep 30, 2013",Closed,Hole,4,4,Bridge Plug,"Sep 26, 2013",,8 Round,"Mar 20, 1997"
 0319563,Abandoned,Ipc Canada Ltd. (A868),A5D4,02-28-019-07W4,"Sep 24, 2015","Sep 25, 2015",Closed,Hole,973,1094,Cement Squeeze/Plug,"Dec 22, 2015",Injection,8 Round,"Dec 04, 2004"
 0130618,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,08-03-066-05W4,"Sep 25, 2001","Dec 18, 2009",Closed,Parted,470,471,Cement Squeeze/Plug,"Sep 26, 2001",,8 Round,"Jan 12, 1988"
 0076143,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,16-35-024-15W4,"Sep 25, 2009","Sep 28, 2009",Closed,Hole,50,410,Cement Squeeze/Plug,"Sep 27, 2009",,8 Round,"Jul 21, 1979"
 0141041,Abandoned,Surge Energy Inc. (0YK4),0YK4,05-11-037-05W4,"Sep 25, 2010","Oct 14, 2010",Closed,Hole,666,825,Cement Squeeze/Plug,"Jun 13, 2011",,8 Round,"Oct 08, 1989"
 0144040,Abandoned,Canadian Natural Resources Limited (0HE9),A5RD,10-02-018-13W4,"Sep 25, 2012","Jan 23, 2013",Closed,Hole,1,1,Replaced Failed Casing,"Oct 22, 2012",,8 Round,"May 15, 1990"
 0191889,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,06-15-056-06W4,"Sep 25, 2018","Oct 17, 2018",Closed,Hole,511,512,Bridge Plug,"Nov 26, 2018",,8 Round,"Nov 03, 1996"
 0132789,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,14-03-066-05W4,"Sep 26, 2001","Jan 14, 2010",Closed,Hole,493,493,Cement Squeeze/Plug,"Dec 15, 2009",,8 Round,"Apr 03, 1988"
 0132794,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,14-03-066-05W4,"Sep 26, 2001","Jan 08, 2010",Closed,Hole,493,493,Entry Error-Ignore,"Dec 14, 2009",,8 Round,"Apr 09, 1988"
 0269023,Abandoned,Ipc Canada Ltd. (A868),A5D4,05-03-020-07W4,"Sep 26, 2017","Sep 27, 2017",Closed,Hole,804,928,Cement Squeeze/Plug,"Sep 29, 2017",,8 Round,"May 12, 2002"
 0078556,Abandoned,Torxen Energy Ltd. (A7NW),A7NW,14-27-019-12W4,"Sep 26, 2020","Sep 28, 2020",Closed,Hole,2,2,Other,"Oct 16, 2020",,8 Round,"Oct 29, 1979"
 0052034,Abandoned,Torxen Energy Ltd. (A7NW),A7NW,16-36-019-11W4,"Sep 26, 2020","Sep 28, 2020",Closed,Hole,3,3,Other,"Oct 16, 2020",,8 Round,"Dec 04, 1974"
 0061154,Abandoned,NuVista Energy Ltd. (A0A7),A0A7,06-03-029-06W4,"Sep 27, 2011","Oct 26, 2011",Closed,Hole,20,85,Cement Squeeze/Plug,"Dec 12, 2011",,8 Round,"Nov 20, 1976"
 0270202,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,15-17-082-22W4,"Sep 27, 2014","Sep 16, 2019",Closed,Hole,544,563,Cement Squeeze/Plug,"Dec 01, 2023",OTHER,8 Round,"Sep 13, 2002"
 0031752,Abandoned,Cenovus Energy Inc. (A5D4),0007,11-29-110-05W6,"Sep 28, 1998","Jun 27, 2006",Closed,Thread Leak,309,321,Cement Squeeze/Plug,"Sep 30, 1998",,8 Round,"Mar 24, 1967"
 0132788,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,14-03-066-05W4,"Sep 28, 2001","Jan 11, 2010",Closed,Hole,473,474,Cement Squeeze/Plug,"Nov 10, 2001",,8 Round,"Apr 02, 1988"
 0035403,Abandoned,Enhance Energy Inc. (A216),0X0P,01-27-038-24W4,"Sep 28, 2005","Sep 28, 2005",Closed,Hole,1000,1074,Cement Squeeze/Plug,"Oct 07, 2005",,8 Round,"Jan 15, 1969"
 0095798,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,06-28-021-10W4,"Sep 28, 2009","Oct 09, 2009",Closed,Hole,30,300,Cement Squeeze/Plug,"Sep 29, 2009",,8 Round,"May 17, 1982"
 0082547,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,08-09-026-19W4,"Sep 28, 2011","Sep 30, 2011",Closed,Hole,177,948,Cement Squeeze/Plug,"Mar 24, 2012",,8 Round,"Jun 24, 1980"
 0059691,Abandoned,Harvest Operations Corp. (0Z0H),0Z0H,13-26-040-03W4,"Sep 28, 2012","Oct 01, 2012",Closed,Hole,36,36,Cement Squeeze/Plug,"Oct 06, 2012",,8 Round,"Aug 27, 1976"
 0074983,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,14-29-018-12W4,"Sep 28, 2013","Oct 09, 2013",Closed,Hole,105,110,Bridge Plug,"Oct 01, 2013",,8 Round,"May 21, 1979"
 0182679,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,16-22-060-04W4,"Sep 28, 2016","Oct 25, 2016",Closed,Hole,2,2,Replaced Failed Casing,"Oct 31, 2016",,8 Round,"Jul 27, 1996"
